season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Ntemp,Natemp,Nhum,Nwindspeed,Ntemp_cat,Nhum_cat,Nwind_cat,cnt_cat
Spring,1,Januari,0,0,Minggu,0,1,0.16,0.1364,0.8,0.2985,1,51,52,6.5600000000000005,6.819999999999999,80.0,19.999499999999998,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,2,0,Rabu,1,1,0.28,0.2727,0.7,0.194,3,3,6,11.48,13.635,70.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,4,0,Rabu,1,1,0.26,0.2424,0.7,0.2836,0,4,4,10.66,12.120000000000001,70.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,9,0,Jumat,1,3,0.5,0.4848,0.88,0.2836,6,101,107,20.5,24.240000000000002,88.0,19.0012,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,8,0,Jumat,1,3,0.5,0.4848,0.88,0.2836,14,206,220,20.5,24.240000000000002,88.0,19.0012,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,7,0,Jumat,1,2,0.42,0.4242,1.0,0.2985,6,128,134,17.22,21.21,100.0,19.999499999999998,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,6,0,Jumat,1,2,0.42,0.4242,1.0,0.3284,0,72,72,17.22,21.21,100.0,22.0028,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,5,0,Jumat,1,2,0.42,0.4242,0.94,0.3284,0,24,24,17.22,21.21,94.0,22.0028,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,4,0,Jumat,1,2,0.4,0.4091,1.0,0.2985,1,3,4,16.400000000000002,20.455000000000002,100.0,19.999499999999998,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,3,0,Jumat,1,2,0.42,0.4242,0.94,0.2836,3,5,8,17.22,21.21,94.0,19.0012,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,2,0,Jumat,1,1,0.42,0.4242,0.94,0.1343,2,11,13,17.22,21.21,94.0,8.9981,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,1,0,Jumat,1,2,0.4,0.4091,0.87,0.2239,6,23,29,16.400000000000002,20.455000000000002,87.0,15.001299999999999,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,0,0,Jumat,1,2,0.4,0.4091,0.82,0.2537,6,32,38,16.400000000000002,20.455000000000002,82.0,16.997899999999998,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,23,0,Kamis,1,2,0.4,0.4091,0.82,0.0,5,86,91,16.400000000000002,20.455000000000002,82.0,0.0,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,22,0,Kamis,1,1,0.38,0.3939,0.82,0.1045,3,139,142,15.58,19.695,82.0,7.0015,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,21,0,Kamis,1,2,0.4,0.4091,0.76,0.1045,8,184,192,16.400000000000002,20.455000000000002,76.0,7.0015,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,20,0,Kamis,1,2,0.4,0.4091,0.82,0.1343,8,216,224,16.400000000000002,20.455000000000002,82.0,8.9981,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,19,0,Kamis,1,2,0.4,0.4091,0.76,0.1045,11,302,313,16.400000000000002,20.455000000000002,76.0,7.0015,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,10,0,Jumat,1,3,0.48,0.4697,1.0,0.1642,9,117,126,19.68,23.485,100.0,11.0014,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,18,0,Kamis,1,2,0.42,0.4242,0.71,0.0,12,394,406,17.22,21.21,71.0,0.0,Sedang,Tinggi,Lemah,Sedang
Spring,1,Januari,11,0,Jumat,1,2,0.48,0.4697,0.94,0.1343,10,95,105,19.68,23.485,94.0,8.9981,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,13,0,Jumat,1,1,0.5,0.4848,0.59,0.4627,26,175,201,20.5,24.240000000000002,59.0,31.0009,Sedang,Sedang,Sedang,Rendah
Spring,1,Januari,4,0,Sabtu,0,1,0.26,0.2576,0.6,0.1642,0,8,8,10.66,12.879999999999999,60.0,11.0014,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,3,0,Sabtu,0,1,0.26,0.2879,0.6,0.0896,1,16,17,10.66,14.395,60.0,6.0032,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,2,0,Sabtu,0,1,0.26,0.303,0.6,0.0,3,38,41,10.66,15.15,60.0,0.0,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,1,0,Sabtu,0,1,0.3,0.303,0.52,0.1642,1,57,58,12.299999999999999,15.15,52.0,11.0014,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,0,0,Sabtu,0,1,0.3,0.2879,0.52,0.2836,1,68,69,12.299999999999999,14.395,52.0,19.0012,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,23,0,Jumat,1,1,0.32,0.2879,0.49,0.4179,8,78,86,13.120000000000001,14.395,49.0,27.999299999999998,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,22,0,Jumat,1,1,0.34,0.303,0.49,0.3881,11,108,119,13.940000000000001,15.15,49.0,26.0027,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,21,0,Jumat,1,1,0.34,0.2879,0.53,0.5224,8,127,135,13.940000000000001,14.395,53.0,35.0008,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,20,0,Jumat,1,1,0.34,0.303,0.53,0.3582,6,153,159,13.940000000000001,15.15,53.0,23.9994,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,19,0,Jumat,1,1,0.36,0.3333,0.5,0.3881,10,241,251,14.76,16.665,50.0,26.0027,Sedang,Sedang,Sedang,Rendah
Spring,1,Januari,18,0,Jumat,1,1,0.4,0.4091,0.5,0.4925,20,363,383,16.400000000000002,20.455000000000002,50.0,32.9975,Sedang,Sedang,Sedang,Sedang
Spring,1,Januari,17,0,Jumat,1,1,0.42,0.4242,0.5,0.5821,16,406,422,17.22,21.21,50.0,39.000699999999995,Sedang,Sedang,Kencang,Sedang
Spring,1,Januari,16,0,Jumat,1,1,0.44,0.4394,0.51,0.5522,26,241,267,18.04,21.97,51.0,36.9974,Sedang,Sedang,Sedang,Rendah
Spring,1,Januari,15,0,Jumat,1,1,0.48,0.4697,0.51,0.3284,27,170,197,19.68,23.485,51.0,22.0028,Sedang,Sedang,Sedang,Rendah
Spring,1,Januari,14,0,Jumat,1,1,0.5,0.4848,0.55,0.5522,23,153,176,20.5,24.240000000000002,55.00000000000001,36.9974,Sedang,Sedang,Sedang,Rendah
Spring,1,Januari,12,0,Jumat,1,2,0.5,0.4848,0.88,0.1642,25,155,180,20.5,24.240000000000002,88.0,11.0014,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,3,0,Rabu,1,1,0.26,0.2576,0.75,0.194,0,1,1,10.66,12.879999999999999,75.0,12.998000000000001,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,17,0,Kamis,1,2,0.42,0.4242,0.71,0.0,16,397,413,17.22,21.21,71.0,0.0,Sedang,Tinggi,Lemah,Sedang
Spring,1,Januari,15,0,Kamis,1,2,0.42,0.4242,0.71,0.1045,22,142,164,17.22,21.21,71.0,7.0015,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,19,0,Rabu,1,2,0.34,0.3636,0.53,0.0,5,311,316,13.940000000000001,18.18,53.0,0.0,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,18,0,Rabu,1,1,0.32,0.3333,0.66,0.1343,24,415,439,13.120000000000001,16.665,66.0,8.9981,Dingin,Sedang,Lemah,Sedang
Spring,1,Januari,17,0,Rabu,1,1,0.36,0.3485,0.53,0.1642,27,443,470,14.76,17.424999999999997,53.0,11.0014,Sedang,Sedang,Lemah,Sedang
Spring,1,Januari,16,0,Rabu,1,1,0.34,0.3333,0.53,0.1642,29,217,246,13.940000000000001,16.665,53.0,11.0014,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,15,0,Rabu,1,1,0.36,0.3788,0.46,0.0,30,125,155,14.76,18.94,46.0,0.0,Sedang,Sedang,Lemah,Rendah
Spring,1,Januari,14,0,Rabu,1,1,0.34,0.3485,0.49,0.0896,53,107,160,13.940000000000001,17.424999999999997,49.0,6.0032,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,13,0,Rabu,1,1,0.34,0.3333,0.49,0.1343,63,149,212,13.940000000000001,16.665,49.0,8.9981,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,12,0,Rabu,1,1,0.32,0.3333,0.53,0.1343,46,147,193,13.120000000000001,16.665,53.0,8.9981,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,11,0,Rabu,1,2,0.3,0.2727,0.61,0.2985,52,105,157,12.299999999999999,13.635,61.0,19.999499999999998,Dingin,Sedang,Sedang,Rendah
Spring,1,Januari,10,0,Rabu,1,2,0.26,0.2273,0.7,0.3284,30,111,141,10.66,11.365,70.0,22.0028,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,9,0,Rabu,1,1,0.24,0.2273,0.7,0.2537,18,218,236,9.84,11.365,70.0,16.997899999999998,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,8,0,Rabu,1,1,0.24,0.2273,0.7,0.2537,18,495,513,9.84,11.365,70.0,16.997899999999998,Dingin,Tinggi,Lemah,Sedang
Spring,1,Januari,7,0,Rabu,1,1,0.24,0.2273,0.75,0.2239,14,243,257,9.84,11.365,75.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,6,0,Rabu,1,1,0.24,0.2273,0.73,0.2239,1,87,88,9.84,11.365,73.0,15.001299999999999,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,5,0,Rabu,1,1,0.26,0.2424,0.7,0.2836,0,33,33,10.66,12.120000000000001,70.0,19.0012,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,20,0,Rabu,1,1,0.32,0.3182,0.61,0.194,10,225,235,13.120000000000001,15.909999999999998,61.0,12.998000000000001,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,16,0,Kamis,1,2,0.4,0.4091,0.71,0.0896,15,209,224,16.400000000000002,20.455000000000002,71.0,6.0032,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,21,0,Rabu,1,1,0.3,0.3333,0.65,0.0,19,166,185,12.299999999999999,16.665,65.0,0.0,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,23,0,Rabu,1,2,0.28,0.3182,0.65,0.0,3,63,66,11.48,15.909999999999998,65.0,0.0,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,14,0,Kamis,1,2,0.4,0.4091,0.71,0.1045,16,112,128,16.400000000000002,20.455000000000002,71.0,7.0015,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,13,0,Kamis,1,2,0.38,0.3939,0.71,0.0,17,156,173,15.58,19.695,71.0,0.0,Sedang,Tinggi,Lemah,Rendah
Spring,1,Januari,12,0,Kamis,1,2,0.34,0.3333,0.81,0.1343,29,136,165,13.940000000000001,16.665,81.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,11,0,Kamis,1,2,0.3,0.3182,0.87,0.1045,11,100,111,12.299999999999999,15.909999999999998,87.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,10,0,Kamis,1,2,0.3,0.303,0.81,0.1343,16,92,108,12.299999999999999,15.15,81.0,8.9981,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,9,0,Kamis,1,2,0.3,0.3333,0.81,0.0,18,256,274,12.299999999999999,16.665,81.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,8,0,Kamis,1,2,0.28,0.303,0.81,0.0896,16,514,530,11.48,15.15,81.0,6.0032,Dingin,Tinggi,Lemah,Sedang
Spring,1,Januari,7,0,Kamis,1,2,0.28,0.303,0.81,0.0896,11,228,239,11.48,15.15,81.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,6,0,Kamis,1,2,0.28,0.3182,0.81,0.0,0,88,88,11.48,15.909999999999998,81.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,5,0,Kamis,1,2,0.3,0.3182,0.75,0.1045,0,28,28,12.299999999999999,15.909999999999998,75.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,4,0,Kamis,1,1,0.28,0.3182,0.75,0.0,0,3,3,11.48,15.909999999999998,75.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,3,0,Kamis,1,2,0.28,0.303,0.75,0.0896,1,5,6,11.48,15.15,75.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,2,0,Kamis,1,2,0.28,0.2727,0.75,0.1642,1,6,7,11.48,13.635,75.0,11.0014,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,1,0,Kamis,1,2,0.28,0.3182,0.75,0.0,5,16,21,11.48,15.909999999999998,75.0,0.0,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,0,0,Kamis,1,2,0.28,0.2879,0.75,0.1045,3,22,25,11.48,14.395,75.0,7.0015,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,22,0,Rabu,1,1,0.3,0.3182,0.65,0.0896,12,101,113,12.299999999999999,15.909999999999998,65.0,6.0032,Dingin,Sedang,Lemah,Rendah
Spring,1,Januari,5,0,Sabtu,0,1,0.24,0.2576,0.75,0.0896,0,10,10,9.84,12.879999999999999,75.0,6.0032,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,23,0,Sabtu,0,2,0.16,0.1515,0.8,0.2537,1,51,52,6.5600000000000005,7.575,80.0,16.997899999999998,Dingin,Tinggi,Lemah,Rendah
Spring,1,Januari,21,0,Sabtu,0,1,0.18,0.1515,0.74,0.3284,5,64,69,7.38,7.575,74.0,22.0028,Dingin,Tinggi,Sedang,Rendah
Spring,1,Januari,21,0,Selasa,1,1,0.46,0.4545,0.67,0.4627,6,174,180,18.86,22.725,67.0,31.0009,Sedang,Tinggi,Sedang,Rendah
Spring,1,Januari,20,0,Selasa,1,1,0.46,0.4545,0.63,0.3582,11,169,180,18.86,22.725,63.0,23.9994,Sedang,Sedang,Sedang,Rendah
